GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Pepsico Inc,1,Pepsico Inc,Wells Fargo And Company,100.0
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Metro Inc,5.1
Microsoft Corp,1,Microsoft Corp,Verizon Communications Inc,6.1
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Ihs Markit Ltd,16.0
Microsoft Corp,2,Amex Global Holdings Cv,Visa Inc,0.8
Microsoft Corp,2,Verizon Communications Inc,Atandt Inc,8.0
Goldman Sachs Group Inc,2,Citigroup Inc,Public Storage,0.5
Alphabet Inc,2,Oracle Corp,Intel Corp,0.8
Microsoft Corp,2,Atandt Inc,The Toronto-Dominion Bank,1.2
Microsoft Corp,2,Atandt Inc,Deutsche Telekom Ag,1.4
Pepsico Inc,2,Jp Morgan Chase And Co,Pimco Dynamic Credit Income Fun,1.4
Coca-Cola Company,2,Jefferies Financial Group Inc,Federal Home Loan Mortgage Corp,0.6
Coca-Cola Company,2,Intercontinental Exchange,Southern Company,8.1
Alphabet Inc,3,Jp Morgan Chase And Co,Netflix Inc,1.6
Alphabet Inc,3,Goldman Sachs Group Inc,Metro Inc,2.4
Goldman Sachs Group Inc,3,Federal Home Loan Mortgage Corp,Hsbc Holdings Plc,7.3
Goldman Sachs Group Inc,3,Bank Of America Corp,Bank Of New York Mellon Corp,2.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Google,13.1
Alphabet Inc,3,Hp Inc,Goldman Sachs Group Inc,1.1
Coca-Cola Company,3,Bank Of America Corp,Chase Corp,2.1
Coca-Cola Company,3,Bank Of America Corp,General Motors Limited,98.0
Alphabet Inc,3,Jp Morgan Chase And Co,New York Times Co,1.1
Pepsico Inc,3,Bank Of America Corp,Deutsche Bank,9.5
Pepsico Inc,3,Bank Of America Corp,Mastercard Inc,4.1
Alphabet Inc,3,Facebook Inc,Wells Fargo And Company,1.3
Alphabet Inc,3,Facebook Inc,Oracle Corp,5.2
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Realogy Holdings Corp,1.4
Morgan Stanley International Holdings Inc,3,Citigroup Inc,State Street Corp,0.9
Coca-Cola Company,3,Goldman Sachs Group Inc,Metro Inc,2.0
Pepsico Inc,3,Deutsche Bank,Netflix Inc,3.1
Goldman Sachs Group Inc,3,Bank Of America Corp,Commerzbank Ag,1.2
Pepsico Inc,3,Jp Morgan Chase And Co,Pimco Dynamic Credit Income Fun,2.6
Goldman Sachs Group Inc,3,Mastercard Inc,Amazon Com Inc,1.4
Goldman Sachs Group Inc,3,Wells Fargo And Company,Public Storage,2.7
Coca-Cola Company,1,Coca-Cola Company,Tyson Foods Inc,1.1
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Ocwen Financial Corp,0.7
Coca-Cola Company,1,Coca-Cola Company,Anheuser-Busch Inbev Sa,0.6
Coca-Cola Company,1,Coca-Cola Company,Post Holdings Inc,1.2
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Thomson Reuters Corp,1.5
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Ubs Group Ag,3.1
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Morgan Stanley International Holdings Inc,29.5
Microsoft Corp,2,Oracle Corp,Citigroup Inc,0.6
Microsoft Corp,2,Cisco Systems Inc,Viasat Inc,1.1
Goldman Sachs Group Inc,2,Intercontinental Exchange,Bank Of America Corp,3.1
Microsoft Corp,2,Atandt Inc,Crown Holdings Inc,0.5
Alphabet Inc,2,Ebay Inc,Amazon Com Inc,2.4
Pepsico Inc,2,Jp Morgan Chase And Co,Sandp Global Inc,11.5
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Petroquest Energy,0.6
Coca-Cola Company,2,Campbell Soup Company,Sandp Global Inc,2.6
Alphabet Inc,2,Amazon Com Inc,Wells Fargo And Company,0.9
Microsoft Corp,2,International Business Machines Corp,Royal Bank Of Canada,5.1
Coca-Cola Company,2,Intercontinental Exchange,Cboe Global Markets Inc,1.1
Microsoft Corp,2,Us Bancorp,Yrc Worldwide,0.6
Coca-Cola Company,3,Bank Of America Corp,Coastal Financial Corp,3.7
Coca-Cola Company,3,Bank Of America Corp,Intercontinental Exchange,100.0
Coca-Cola Company,3,Goldman Sachs Group Inc,Federal Home Loan Mortgage Corp,4.4
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Oasis Petroleum Inc,0.5
Jp Morgan Chase And Co,3,Intercontinental Exchange,General Motors Limited,0.5
Morgan Stanley International Holdings Inc,3,Citigroup Inc,State Street Corp,1.1
Pepsico Inc,3,Mastercard Inc,Apple Inc,58.5
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,City Office Reit Inc,2.4
