GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Oasis Petroleum Inc,5.0
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Genworth Financial Inc,0.6
Coca-Cola Company,2,Philip Morris International Inc,Altria Group,28.5
Alphabet Inc,2,Oracle Corp,Credit Suisse Group,0.6
Pepsico Inc,2,Wells Fargo And Company,Pimco Dynamic Credit Income Fun,2.5
Microsoft Corp,2,International Business Machines Corp,Walmart Inc,0.7
Coca-Cola Company,2,Intercontinental Exchange,Altagas Ltd,0.6
Coca-Cola Company,2,Intercontinental Exchange,National Bank Of Canada,0.5
Coca-Cola Company,2,Intercontinental Exchange,Euronext Nv,0.6
Coca-Cola Company,3,Bank Of America Corp,Walmart Inc,24.4
Coca-Cola Company,3,Bank Of America Corp,Ferrari Nv,2.0
Coca-Cola Company,3,Bank Of America Corp,Msa Safety Inc,2.2
Morgan Stanley International Holdings Inc,3,Goldman Sachs Group Inc,Visa Inc,0.9
Alphabet Inc,3,Jp Morgan Chase And Co,Unilever Plc,1.1
Microsoft Corp,3,Hsbc Holdings Plc,Jp Morgan Chase And Co,2.0
Goldman Sachs Group Inc,3,Bank Of America Corp,Maiden Holdings Ltd,2.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Bank Of New York Mellon Corp,1.8
Goldman Sachs Group Inc,3,Bank Of America Corp,Visa Inc,2.0
Microsoft Corp,3,Red Hat Inc,Broadcom Ltd,6.5
Pepsico Inc,3,Jp Morgan Chase And Co,Deutsche Bank,78.7
Pepsico Inc,3,Jp Morgan Chase And Co,Ebay Inc,17.5
Pepsico Inc,3,Mastercard Inc,Apple Inc,23.1
Coca-Cola Company,3,Citigroup Inc,Philip Morris International Inc,1.7
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Realogy Holdings Corp,1.8
Microsoft Corp,3,Bank Of America Corp,Assured Guaranty Ltd,2.6
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Deutsche Bank,2.0
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Bbandt Corp,1.8
Alphabet Inc,3,Jp Morgan Chase And Co,Toyota Motor Corp,1.1
Alphabet Inc,3,Facebook Inc,Shopify Inc,0.9
Goldman Sachs Group Inc,3,Bank Of America Corp,Equifax Inc,1.4
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Royal Bank Of Canada,1.4
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Moodys Corp /De/,1.2
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Visa Inc,1.9
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Salesforce Com Inc,2.5
Microsoft Corp,1,Microsoft Corp,Adobe Inc,2.4
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Mastercard Inc,1.7
Pepsico Inc,2,Hsbc Holdings Plc,Special Opportunities Fund Inc,0.5
Microsoft Corp,2,Atandt Inc,Mizuho Financial Group Inc,0.8
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Thomson Reuters Corp,1.1
Jp Morgan Chase And Co,2,Moodys Corp /De/,Vanguard Group,0.5
Pepsico Inc,2,Wells Fargo And Company,Nike Inc,0.7
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Barclays Plc,1.3
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Royal Bank Of Scotland Group Plc,0.5
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Federal Home Loan Mortgage Corp,79.0
Microsoft Corp,2,International Business Machines Corp,Sandp Global Inc,24.6
Microsoft Corp,2,Us Bancorp,Mitsubishi Ufj Financial Group Inc,2.3
Alphabet Inc,3,Citigroup Inc,Wells Fargo And Company,2.0
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Citigroup Inc,68.9
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,First Republic Bank,0.7
Alphabet Inc,3,Jp Morgan Chase And Co,Vanguard Group,13.1
Alphabet Inc,3,Apple Inc,Nestle Sa Cham Et Ve,0.9
Coca-Cola Company,3,Bank Of America Corp,First Republic Bank,14.4
Coca-Cola Company,3,Bank Of America Corp,Clorox Company,2.0
Pepsico Inc,3,Intercontinental Exchange,Goldman Sachs Group Inc,81.2
Microsoft Corp,3,Bank Of America Corp,Bank Of New York Mellon Corp,5.1
Goldman Sachs Group Inc,3,Bank Of America Corp,Equifax Inc,2.8
Pepsico Inc,3,Jp Morgan Chase And Co,Nantkwest Inc,11.8
Microsoft Corp,3,Deutsche Bank,Bank Of America Corp,5.8
Coca-Cola Company,3,Bank Of America Corp,Carnival Corp,3.8
Microsoft Corp,3,Sandp Global Inc,Moodys Corp /De/,13.1
Jp Morgan Chase And Co,3,Berkshire Hathaway Inc,Amazon Com Inc,1.4
Goldman Sachs Group Inc,3,Wells Fargo And Company,Marriott International Inc /Md/,2.4
