GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,IEVENT,INTENSITY
Goldman Sachs Group Inc,3,Seritage Growth Properties,Jp Morgan Chase And Co,,35190
Goldman Sachs Group Inc,3,Alphabet Inc,Altaba Inc,,150
Goldman Sachs Group Inc,2,Wandt Offshore Inc,Westlake Chemical Corp,,80
Jp Morgan Chase And Co,2,Moodys Corp /De/,Fiserv Inc,,147
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Command Security Corp,,216
Jp Morgan Chase And Co,3,Dominion Energy Inc,Agilent Technologies Inc,,63
Jp Morgan Chase And Co,2,Moodys Corp /De/,Morningstar Inc,,3348
Goldman Sachs Group Inc,2,Alnylam Pharmaceuticals Inc,Exela Technologies Inc,,2400
Goldman Sachs Group Inc,3,Exela Technologies Inc,Harley Davidson Inc,,64
Goldman Sachs Group Inc,3,Centene Corp,Harte Hanks Inc,,18
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Fair Isaac Corp,Communication,3200
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Berkshire Hathaway Inc,,12800
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Vereit Inc,,1428
Pepsico Inc,3,Ford Motor Company,Singapore Exchange Ltd,,108
Goldman Sachs Group Inc,2,Navistar International Corp,Paccar Inc,,96
Goldman Sachs Group Inc,3,Microsoft Corp,Vmware Inc,,420
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Xp Inc,Corporate,208
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Iqiyi Inc,,384
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Marcus Corp,Corporate,384
Alphabet Inc,1,Alphabet Inc,Network Cn Inc,,14
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Intercontinental Exchange,,7221.6
Goldman Sachs Group Inc,3,Ness Technologies Inc,Elbit Systems Ltd,,3
Coca-Cola Company,2,Equifax Inc,Acuity Brands Inc,,48
Coca-Cola Company,2,Citigroup Inc,Ebay Inc,,1008
Coca-Cola Company,1,Coca-Cola Company,Brown Forman Corp,,144
Coca-Cola Company,2,Nrg Energy,Sunpower Corp,,375
Coca-Cola Company,3,United Natural Foods Inc,Supervalu Inc,,10
Coca-Cola Company,2,Us Foods Holding Corp,Principal Financial Group Inc,,324
Coca-Cola Company,3,Sunpower Corp,Deutsche Bank,,4342
Coca-Cola Company,1,Coca-Cola Company,Pinnacle Foods Inc,,12
Coca-Cola Company,2,Equifax Inc,Cra International,,2262
Pepsico Inc,2,Atandt Inc,Digital Realty Trust,,2520
Pepsico Inc,2,United States Steel Corp,Coastal Contacts Inc,,70
Pepsico Inc,2,Visa Inc,Mastercard Inc,,52830
Pepsico Inc,2,Dr Pepper Snapple Group Inc,National Beverage Corp,,84
Pepsico Inc,3,Mastercard Inc,Switch Inc,,72
Pepsico Inc,2,Metlife Inc,Sun Life Financial Inc,,270
Pepsico Inc,2,Boston Beer Co Inc,Weight Watchers International Inc,,64
Pepsico Inc,1,Pepsico Inc,Chicos Fas Inc,,520
Goldman Sachs Group Inc,3,Chase Corp,American Biltrite Inc,,4
Goldman Sachs Group Inc,2,Franklin Financial Network Inc,Fedex Corp,,22
Jp Morgan Chase And Co,3,Hp Inc,Rockwell Automation Inc,,77
Jp Morgan Chase And Co,3,Equifax Inc,Harte Hanks Inc,,18
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Ennis Inc,,408
Jp Morgan Chase And Co,3,Kelly Services Inc,Goodyear Tire And Rubber Co /Oh/,,468
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Brightsphere Investment Group Inc,Corporate,816
Goldman Sachs Group Inc,2,Snap Inc,Alphabet Inc,,28938
Jp Morgan Chase And Co,2,Maiden Holdings Ltd,Lattice Semiconductor Corp,,360
Jp Morgan Chase And Co,3,Corelogic,Alliance Data Systems Corp,,12
Jp Morgan Chase And Co,2,Oasis Petroleum Inc,Wandt Offshore Inc,,336
Pepsico Inc,2,Hertz Global Holdings Inc,Alamo Group Inc,,24
Pepsico Inc,2,Ltc Properties Inc,Prudential Financial Inc,Corporate,80
Pepsico Inc,2,Monster Beverage Corp,Halcon Resources Corp,,168
Pepsico Inc,2,Coca-Cola Company,Kellogg Company,,21664
Pepsico Inc,1,Pepsico Inc,Citigroup Financial Products Inc,Corporate,143
Pepsico Inc,2,Kellogg Company,Clarke Inc,,96
Pepsico Inc,2,Alexander And Baldwin Inc,Bank Of America Corp,,371355
Pepsico Inc,2,Metlife Inc,Arch Capital Group Ltd,,105
Pepsico Inc,3,Tribune Media Co,Amc Entertainment Inc,,6
Pepsico Inc,2,Dover Corp,Emerson Electric Co,,84
Pepsico Inc,3,Exela Technologies Inc,Caesars Acquisition Co,,4
Pepsico Inc,1,Pepsico Inc,Royal Dutch Shell,,377
Pepsico Inc,1,Pepsico Inc,Sandp Global Inc,,2035.8
Pepsico Inc,2,General Electric Company,Baker Hughes A Ge Co,,2016
Coca-Cola Company,1,Coca-Cola Company,Deutsche Bank,,4368
Coca-Cola Company,1,Coca-Cola Company,Archer Daniels Midland Co,,96
Coca-Cola Company,1,Coca-Cola Company,Tyson Foods Inc,,84
Coca-Cola Company,2,Coca Cola Bottling Co Consolidated /De/,Commonwealth Bank Of Australia,,1472
Pepsico Inc,2,Atandt Inc,Icc Holdings Inc,,70
Coca-Cola Company,3,Comscore Inc,Petmed Express Inc,,12
Coca-Cola Company,1,Coca-Cola Company,Hershey Co,,84
Coca-Cola Company,3,Dean Foods Co,Morningstar Inc,,424
Coca-Cola Company,3,Oracle Corp,Salesforce Com Inc,,768
Coca-Cola Company,3,Seacor Holdings Inc /New/,Bp Plc,,2272
Coca-Cola Company,3,Broadcom Ltd,Ca Inc,,288
Coca-Cola Company,1,Coca-Cola Company,Linkedin Corp,,60
Pepsico Inc,2,Citigroup Inc,Smtc Corp,,5496
Pepsico Inc,1,Pepsico Inc,Essa Bancorp Inc,Transaction,299
Coca-Cola Company,3,Norfolk Southern Corp,Csx Corp,,320
Coca-Cola Company,1,Coca-Cola Company,Pepsico Inc,,312
Coca-Cola Company,2,Flowers Foods Inc,Hostess Brands Inc,,216
Coca-Cola Company,1,Coca-Cola Company,Boston Beer Co Inc,,48
Coca-Cola Company,3,Ilg Inc,Liberty Broadband Corp,,6
Coca-Cola Company,1,Coca-Cola Company,Nrg Energy,Transaction,540
Coca-Cola Company,3,Plains All American Pipeline Lp,Vulcan Intl Cp,,6
Pepsico Inc,2,Apollo Global Management Llc,Republic Services,,120
Coca-Cola Company,2,Hain Celestial Group Inc,United Natural Foods Inc,,60
Coca-Cola Company,2,Freshpet Inc Cs,World Fuel Services Corp,,8
Coca-Cola Company,3,Dover Corp,Rockwell Automation Inc,,42
Coca-Cola Company,2,Nrg Energy,Dynegy Inc,,150
Pepsico Inc,3,Monster Beverage Corp,Marsh And Mclennan Companies Inc,,56
Pepsico Inc,2,Coca-Cola Company,Ingredion Inc,,192
Coca-Cola Company,1,Coca-Cola Company,Lancaster Colony Corp,,36
Pepsico Inc,1,Pepsico Inc,Atandt Inc,,364
Coca-Cola Company,3,Lancaster Colony Corp,Huntington Bancshares Inc/Md,,30
Coca-Cola Company,2,Keurig Dr Pepper Inc,Dr Pepper Snapple Group Inc,,28
Pepsico Inc,2,Metlife Inc,Brighthouse Financial Inc,,270
Coca-Cola Company,1,Coca-Cola Company,Philip Morris International Inc,,108
Coca-Cola Company,1,Coca-Cola Company,Nrg Energy,SupplyChain,720
Coca-Cola Company,2,Santander Holdings Usa Inc,Laurentian Bk Cda Qu,,16
Coca-Cola Company,3,Loews Corp,Cna Financial Corp,,3852
Coca-Cola Company,1,Coca-Cola Company,Apple Inc,,312
Coca-Cola Company,1,Coca-Cola Company,Unilever Plc,,132
Pepsico Inc,1,Pepsico Inc,Owens Corning Inc,,728
Pepsico Inc,1,Pepsico Inc,Unilever Nv Ord,,975
Pepsico Inc,1,Pepsico Inc,Heineken N V/S,,546
Pepsico Inc,3,Kellogg Company,Nokia Corp,,722
Pepsico Inc,3,Intercontinental Exchange,Tullet Prebon Plc,,24
Pepsico Inc,2,Bank Of America Corp,Basic Energy Services Inc,,3321
Pepsico Inc,2,Spire Corp,First Solar Inc,,36
Coca-Cola Company,3,The Carlyle Group Lp,Invesco Ltd,,264
Pepsico Inc,2,General Motors Limited,Microsoft Corp,,330
Pepsico Inc,2,Ltc Properties Inc,Air Lease Corp,,160
Pepsico Inc,1,Pepsico Inc,Bank Of New York Mellon Corp,,422.5
Pepsico Inc,3,Alon Usa Energy Inc,Welltower Inc,,288
Pepsico Inc,2,Morgan Stanley International Holdings Inc,Msci Inc,,7275
Pepsico Inc,1,Pepsico Inc,Celsius Holdings Inc,,130
Pepsico Inc,2,Morgan Stanley International Holdings Inc,Mitsubishi Ufj Financial Group Inc,Transaction,5850
Coca-Cola Company,3,Jones Lang Lasalle Inc,Sandp Global Inc,,8190
Microsoft Corp,2,Hewlett Packard Enterprise Comp,Aruba Networks Inc,,24
Microsoft Corp,1,Microsoft Corp,International Business Machines Corp,,1755
Microsoft Corp,3,Expedia Group Inc,Altice,Corporate,4480
Microsoft Corp,3,Expedia Group Inc,Apollo Global Management Llc,,80
Alphabet Inc,2,Abbvie Inc,Supervalu Inc,,48
Alphabet Inc,3,Apollo Global Management Llc,Amc Entertainment Inc,,66
Alphabet Inc,2,Netflix Inc,Twitter Inc,,18260
Alphabet Inc,3,Federal National Mortgage Association,Realogy Holdings Corp,,3480
Alphabet Inc,2,Microsoft Corp,Oci Partners Lp,,1267
Alphabet Inc,2,Abbvie Inc,Cardinal Health Inc,,721
Microsoft Corp,2,Amex Global Holdings Cv,Capital One Financial Corp,,406
Microsoft Corp,1,Microsoft Corp,Netflix Inc,,206.25
Microsoft Corp,3,Brocade Communications Systems Inc,Hon Hai Precision Industry Co Ltd,,14
Microsoft Corp,3,Enterprise Products Partners L P,Plains All American Pipeline Lp,,84
Microsoft Corp,2,Hewlett Packard Enterprise Comp,Ruckus Wireless Inc,,12
Microsoft Corp,3,Moodys Corp /De/,Cra International,,129
Alphabet Inc,2,Abbvie Inc,Abbott Laboratories Limited,,8352
Alphabet Inc,1,Alphabet Inc,Oracle Corp,,2352
Alphabet Inc,2,Sandp Global Inc,Federal National Mortgage Association,,9612
Microsoft Corp,3,Oracle Corp,Netsuite Inc,,636
Microsoft Corp,1,Microsoft Corp,Nokia Corp,,1330
Alphabet Inc,2,Network 1 Technologies Inc,Juniper Networks Inc,,252
Alphabet Inc,2,Abbvie Inc,Mckesson Corp,,490
Alphabet Inc,3,Formfactor Inc,Tokyo Electron Ltd,,24
Alphabet Inc,3,Microsemi Corp,Visa Inc,,275
Alphabet Inc,3,Duke Energy Corp,Bloom Energy Corp,Corporate,312
Alphabet Inc,2,Oracle Corp,Security Bank Corp,,216
Alphabet Inc,2,Netflix Inc,Warner Media Llc,,237
Coca-Cola Company,1,Coca-Cola Company,Koninklijke Bunge Bv,,96
Alphabet Inc,2,Bank Of New York Mellon Corp,Darwin Professional Underwriters Inc,,26
Microsoft Corp,3,Pepsico Inc,Quaker Chemical Corp,,39
Microsoft Corp,3,Intuit Inc,Bank Of America Corp,,16302
Alphabet Inc,3,Capital One Financial Corp,Conduent Inc,,1450
Alphabet Inc,3,Dcp Midstream Lp,Eqt Corp,,42
Alphabet Inc,3,Dell Inc,Pepsico Inc,,143
Alphabet Inc,3,Ares Capital Corp,Ares Management Gp Llc,,1260
Alphabet Inc,3,Gilead Sciences Inc,Allied Capital Corp,,1536
Microsoft Corp,3,Amyris Inc,Bp Plc,,672
Microsoft Corp,2,Altaba Inc,Coherent Inc,,25
Microsoft Corp,2,Google,Amyris Inc,,24
Microsoft Corp,3,Red Hat Inc,Verint Systems Inc,,20
Microsoft Corp,3,Agilent Technologies Inc,Zygo Corp,,7
Coca-Cola Company,3,Park Ohio Holdings Corp,Matson Inc,,42
Microsoft Corp,2,Atandt Inc,Digital Realty Trust,,504
Microsoft Corp,2,Federal National Mortgage Association,Agilent Technologies Inc,,868
Microsoft Corp,3,Sprint Corp,Baker Hughes A Ge Co,,84
Microsoft Corp,1,Microsoft Corp,Linkedin Corp,Corporate,4710
Microsoft Corp,1,Microsoft Corp,London Stock Exchange Group Plc,,540
Microsoft Corp,3,Cisco Systems Inc,Logmein Inc,,64
Microsoft Corp,1,Microsoft Corp,Nintendo Co Ltd,,165
Microsoft Corp,3,Symantec Corp,Reynolds American Inc,,8
Microsoft Corp,2,Emc Corp,Brocade Communications Systems Inc,,2
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Zymergen Inc,Corporate,128
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Mgic Investment Corp,,1300
Microsoft Corp,1,Microsoft Corp,Intercontinental Exchange,,180
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Mastercard Inc,Basel,3442.5
Alphabet Inc,2,Nasdaq Inc,Change Healthcare Holdings Inc,,72
Alphabet Inc,3,Pfizer Inc,Agilent Technologies Inc,,126
Jp Morgan Chase And Co,3,Emergent Biosolutions,Altimmune Inc,,20
Goldman Sachs Group Inc,3,Santander Consumer Usa Holdings,Fair Isaac Corp,,296
Goldman Sachs Group Inc,3,Liberty Broadband Corp,Ooma Inc,,18
Goldman Sachs Group Inc,3,Corelogic,Fidelity National Information Services,,20
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Fair Isaac Corp,Transaction,896
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Nn Inc,Corporate,1024
Jp Morgan Chase And Co,2,Mastercard Inc,Canadian Pacific Railway Ltd/Cn,,2268
Jp Morgan Chase And Co,3,Hp Inc,Toshiba Corp,,685
Jp Morgan Chase And Co,2,Moodys Corp /De/,Ims Health Holdings Inc,,126
Alphabet Inc,2,Ebay Inc,Paypal Holdings,,12312
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,University Bancorp Inc /De/,,32
Jp Morgan Chase And Co,3,International Business Machines Corp,Wipro Ltd,,156
Goldman Sachs Group Inc,2,Us Bancorp,Concord Communications Inc,,100
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Venator Materials Plc,Corporate,224
Goldman Sachs Group Inc,3,Winnebago Industries Inc,Goldman Sachs Group Inc,,3456
Goldman Sachs Group Inc,3,Intel Corp,Intuit Inc,,144
Goldman Sachs Group Inc,2,Wells Fargo And Company,Mastercard Inc,,33390
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Barnes Group Inc,Political,64
Jp Morgan Chase And Co,3,International Business Machines Corp,Columbia Sportswear Co,,364
Goldman Sachs Group Inc,3,Dowdupont Inc,Dupont E I De Nemours And Co,,770
Jp Morgan Chase And Co,2,International Business Machines Corp,Twitter Inc,,540
Microsoft Corp,2,Sandp Global Inc,Canara Bank,,135
Coca-Cola Company,1,Coca-Cola Company,Broadcom Ltd,SupplyChain,3888
Coca-Cola Company,3,Oracle Corp,Intel Corp,,1344
Microsoft Corp,3,Cisco Systems Inc,Extreme Networks Inc,,95
Alphabet Inc,1,Alphabet Inc,Booking Holdings Inc,,140
Microsoft Corp,2,Intercontinental Exchange,Coinbase Global Inc,Corporate,102
Microsoft Corp,3,Hp Inc,Xerox Corp,,132
Microsoft Corp,2,Emc Corp,Ilg Inc,,2
Alphabet Inc,3,Dcp Midstream Lp,Tri-Continental Corp,,28
Microsoft Corp,1,Microsoft Corp,Sap Se,,765
Coca-Cola Company,2,Molson Coors Brewing Co,Flanigans Enterprises Inc,,432
Alphabet Inc,2,Sandp Global Inc,Dean Foods Co,,90
Alphabet Inc,1,Alphabet Inc,Ardmore Shipping Corp,,112
Microsoft Corp,3,American Airlines Group Inc,Rockwell Collins Inc,Transaction,100
Microsoft Corp,1,Microsoft Corp,Linkedin Corp,Communication,3810
Microsoft Corp,3,Tier Reit Inc,Thomson Reuters Corp,,504
Microsoft Corp,1,Microsoft Corp,Alaska Air Group,HumanResources,75
Goldman Sachs Group Inc,3,Matador Resources Co,Jv Group Inc,,6
Goldman Sachs Group Inc,2,Federal National Mortgage Association,Corelogic,,72
Alphabet Inc,2,Honeywell International Inc,Markel Corp,,72
Alphabet Inc,3,Cbs Corp,Netflix Inc,,1496
Microsoft Corp,3,Pepsico Inc,Unilever Plc,,858
Microsoft Corp,2,Symantec Corp,Verisign Inc/Ca,,896
Microsoft Corp,2,Symantec Corp,Darwin Professional Underwriters Inc,,24
Microsoft Corp,2,Red Hat Inc,Tibco Software Inc,,16
Microsoft Corp,2,Altaba Inc,Tier Reit Inc,,15
Microsoft Corp,1,Microsoft Corp,Atandt Inc,,420
Microsoft Corp,2,International Business Machines Corp,Moodys Corp /De/,,476
Microsoft Corp,2,Apache Corp,Mariner Energy Inc,,70
Alphabet Inc,2,Ebay Inc,Gap Inc,,288
Goldman Sachs Group Inc,2,Valeant Pharmaceuticals International Inc,Eisai Co Ltd,,72
Jp Morgan Chase And Co,2,Berkshire Hathaway Inc,Dominion Energy Inc,,2592
Jp Morgan Chase And Co,3,Mrc Global Inc,Bhp Billiton Plc,,28
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Oasis Petroleum Inc,,510
Jp Morgan Chase And Co,2,Oasis Petroleum Inc,Qep Resources,,345
Alphabet Inc,3,Adobe Inc,Wells Fargo And Company,,21280
Goldman Sachs Group Inc,2,Snap Inc,Intel Corp,,256
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Goldman Sachs Group Inc,,78848
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Rivian Automotive Inc  De,Corporate,32
Jp Morgan Chase And Co,3,Bruker Corp,Superconductor Technologies Inc,,12
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Moodys Corp /De/,,3034.5
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Visa Inc,Basel,10098
Goldman Sachs Group Inc,2,Berkshire Hathaway Inc,General Electric Company,,8080
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Mulberry Health Inc,Corporate,128
Jp Morgan Chase And Co,2,Realogy Holdings Corp,Capital One Financial Corp,,116
Jp Morgan Chase And Co,3,Hp Inc,Tsr Inc,,66
Jp Morgan Chase And Co,2,Cbs Corp,Comcast Corp A,,280
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Chase Corp,,204
Goldman Sachs Group Inc,2,Snap Inc,Linkedin Corp,,32
Goldman Sachs Group Inc,2,Cme Group Inc,Societe Generale,,288
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Jp Morgan Chase And Co,Corporate,48960
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Vroom Inc,Corporate,80
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Citigroup Inc,,1344
Goldman Sachs Group Inc,2,Sunedison Inc,Smc Cp,,704
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Adeptus Health Inc,Corporate,320
Goldman Sachs Group Inc,3,Perrigo Company Public Limited Company,Cardinal Health Inc,,126
Jp Morgan Chase And Co,2,Visa Inc,Discover Financial Services,,462
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Camping World Inc,Corporate,1600
Jp Morgan Chase And Co,3,Mgic Investment Corp,Rmr Real Estate Income Fund,,680
Jp Morgan Chase And Co,2,Bank Of America Corp,First Republic Bank,,2166
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Cme Group Inc,,256
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Wells Fargo And Company,,1280
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Natera Inc,Corporate,768
Jp Morgan Chase And Co,2,Smtc Corp,Ciena Corp,Corporate,56
Goldman Sachs Group Inc,2,Discovery Comm Inc,Liberty Broadband Corp,,90
Goldman Sachs Group Inc,2,Marcus Corp,Marriott International Inc /Md/,,696
Jp Morgan Chase And Co,2,Zimmer Biomet Holdings,Globus Medical Inc,,70
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,City Office Reit Inc,,5508
Goldman Sachs Group Inc,2,Ecolab Inc,Weatherford International Plc,,192
Alphabet Inc,1,Alphabet Inc,Verizon Communications Inc,,182
Alphabet Inc,2,Southern Company,Entergy Corp,,55
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Vivos Inc,,357
Jp Morgan Chase And Co,2,Bank Of America Corp,Mrc Global Inc,,912
Jp Morgan Chase And Co,2,Berkshire Hathaway Inc,Home Depot Inc,,528
Goldman Sachs Group Inc,2,Snap Inc,Riverbed Technology Limited,,16
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Oak Street Health Llc,Corporate,160
Goldman Sachs Group Inc,3,Realogy Holdings Corp,Servicemaster Global Holdings Inc,,96
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Morgan Stanley International Holdings Inc,,960
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Goodrich Petroleum Corp,,832
Alphabet Inc,3,Entergy Corp,Calpine Corp,,20
Coca-Cola Company,3,Plains All American Pipeline Lp,Gatx Corp,,72
Coca-Cola Company,3,Netlogic Microsystems Inc,Actel Corp,,19
Coca-Cola Company,3,Comscore Inc,Emc Corp,,2
Coca-Cola Company,1,Coca-Cola Company,Corecivic Inc,SupplyChain,504
Coca-Cola Company,2,Santander Holdings Usa Inc,Mbia Inc,Corporate,64
Coca-Cola Company,2,Oci Partners Lp,Valero Energy Corp/Tx,,1442
Pepsico Inc,1,Pepsico Inc,Collier Creek Holdings,,52
Coca-Cola Company,1,Coca-Cola Company,Jp Morgan Chase And Co,Corporate,4590
Coca-Cola Company,3,Wyndham Worldwide Corp,Str Holdings Inc,,36
Coca-Cola Company,2,Nrg Energy,Plains All American Pipeline Lp,Corporate,300
Pepsico Inc,3,Merck And Co Inc,Oci Partners Lp,,884
Pepsico Inc,1,Pepsico Inc,Barclays Plc,Corporate,182
Pepsico Inc,3,Oragenics Inc,Medicinova Inc,,20
Pepsico Inc,3,Kennametal Inc,Barnes Group Inc,,8
Pepsico Inc,3,Comcast Corp A,General Electric Company,,2680
Pepsico Inc,3,Coca-Cola Company,Archer Daniels Midland Co,,120
Pepsico Inc,3,Corelogic,Alliance Data Systems Corp,,24
Pepsico Inc,2,Hsbc Holdings Plc,Scotts Miracle-Gro Co,,270
Pepsico Inc,3,Arch Capital Group Ltd,Philip Morris International Inc,,2844
Pepsico Inc,2,Hertz Global Holdings Inc,Exela Technologies Inc,Transaction,384
Goldman Sachs Group Inc,2,Camping World Inc,First Industrial Realty Trust Inc,,144
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Ihs Markit Ltd,,224
Jp Morgan Chase And Co,2,Cbs Corp,Cumulus Media Inc,,112
Jp Morgan Chase And Co,2,Cbs Corp,Lions Gate Entertainment Corp /Cn/,,140
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Ally Financial,,21020
Goldman Sachs Group Inc,3,Kraft Heinz Co,Johnson And Johnson Services Inc,,396
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Credit Suisse Group,Corporate,4160
Goldman Sachs Group Inc,2,Camping World Inc,Winnebago Industries Inc,,144
Alphabet Inc,2,Illumina Inc,Ubs Group Ag,,576
Microsoft Corp,3,Tibco Software Inc,Dcp Midstream Lp,,35
Microsoft Corp,1,Microsoft Corp,Pepsico Inc,,195
Pepsico Inc,1,Pepsico Inc,Danone Sa,,156
Alphabet Inc,2,Crown Castle International Corp,Telstra Corp Ltd,,252
Goldman Sachs Group Inc,3,Dowdupont Inc,Chemours Co,,3108
Goldman Sachs Group Inc,3,Tesla Inc,Vivint Solar Inc,,40
Goldman Sachs Group Inc,2,Goodrich Petroleum Corp,Matador Resources Co,,12
Jp Morgan Chase And Co,3,Fiserv Inc,National Australia Bank Ltd,,70
Goldman Sachs Group Inc,2,General Motors Limited,Honda Motor Company,,726
Pepsico Inc,3,Microsoft Corp,Linkedin Corp,,1440
Pepsico Inc,3,Merck And Co Inc,Newlink Genetics Corp,,96
Pepsico Inc,2,Boston Beer Co Inc,Diageo Plc,,1320
Pepsico Inc,2,Merck And Co Inc,Immune Design Corp,,288
Pepsico Inc,2,Bank Of America Corp,Bank Of America Corp,,664620
Coca-Cola Company,3,Broadcom Ltd,Broadcom Ltd,,4860
Coca-Cola Company,3,Ebay Inc,Ebay Inc,,1572
Pepsico Inc,3,Umb Financial Corp,Umb Financial Corp,,16
