GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,IEVENT,INTENSITY
Pepsico Inc,1,Pepsico Inc,Nasdaq Inc,,702
Pepsico Inc,3,Prudential Financial Inc,American International Group Inc,,918
Pepsico Inc,1,Pepsico Inc,Archer Daniels Midland Co,,208
Coca-Cola Company,3,Discover Financial Services,Bioverativ Inc,,7
Coca-Cola Company,1,Coca-Cola Company,Monster Beverage Corp,SupplyChain,336
Coca-Cola Company,1,Coca-Cola Company,Constellation Brands Inc,,162
Pepsico Inc,1,Pepsico Inc,Morgan Stanley International Holdings Inc,,780
Pepsico Inc,3,Caesars Entertainment Corp,Petco Animal Supplies Inc,,2
Pepsico Inc,3,Physicians Realty Trust,Foundation Healthcare Inc,,2
Pepsico Inc,2,General Motors Limited,Meritage Homes Corp,,528
Coca-Cola Company,1,Coca-Cola Company,Performance Food Group Co,,96
Coca-Cola Company,3,Norfolk Southern Corp,Zimmer Biomet Holdings,,56
Pepsico Inc,1,Pepsico Inc,Deutsche Bank,Corporate,507
Pepsico Inc,2,Coca-Cola Company,Lancaster Colony Corp,,144
Pepsico Inc,3,Merck And Co Inc,Amtrust Financial Services Inc,,304
Pepsico Inc,1,Pepsico Inc,Goldman Sachs Group Inc,,3328
Pepsico Inc,1,Pepsico Inc,Quaker Chemical Corp,Communication,390
Pepsico Inc,3,Microsoft Corp,Apple Inc,,5603
Pepsico Inc,2,United States Steel Corp,Corelogic,,20
Pepsico Inc,1,Pepsico Inc,General Electric Company,,260
Pepsico Inc,1,Pepsico Inc,Quaker Chemical Corp,,234
Pepsico Inc,3,Bank Of America Corp,Countrywide Plc,,26112
Coca-Cola Company,2,Nrg Energy,Tsr Inc,,456
Coca-Cola Company,2,Freshpet Inc Cs,The Carlyle Group Lp,,96
Coca-Cola Company,1,Coca-Cola Company,Molson Coors Brewing Co,,72
Coca-Cola Company,1,Coca-Cola Company,Costa Group Holdings Ltd,,180
Coca-Cola Company,1,Coca-Cola Company,Conagra Brands Inc,,60
Pepsico Inc,1,Pepsico Inc,Bank Of America Corp,Corporate,1482
Coca-Cola Company,3,Ebay Inc,Interpublic Group Of Companies,,72
Coca-Cola Company,3,Smtc Corp,Celestica Inc,,10
Coca-Cola Company,2,Santander Holdings Usa Inc,Cra International,,1410
Coca-Cola Company,1,Coca-Cola Company,Equifax Inc,,108
Coca-Cola Company,2,Post Holdings Inc,Dollar General Corp,,96
Coca-Cola Company,3,Seacor Holdings Inc /New/,Sei Investments Co,,54
Coca-Cola Company,1,Coca-Cola Company,Nrg Energy,,300
Coca-Cola Company,2,Chevron Corp,Bp Plc,,384
Coca-Cola Company,2,Archer Daniels Midland Co,Wilmar International Ltd,,120
Coca-Cola Company,2,Adobe Inc,Oracle Corp,,2760
Coca-Cola Company,3,United Natural Foods Inc,Thomson Reuters Corp,,400
Coca-Cola Company,2,Koninklijke Bunge Bv,Credit Suisse Group,,7696
Pepsico Inc,2,Metlife Inc,General Dynamics Corp,,135
Pepsico Inc,1,Pepsico Inc,Bank Of New York Mellon Corp,Corporate,1267.5
Coca-Cola Company,2,Santander Holdings Usa Inc,Mandt Bank Corp,,96
Coca-Cola Company,1,Coca-Cola Company,Heineken N V/S,,168
Coca-Cola Company,2,Koninklijke Bunge Bv,Park Ohio Holdings Corp,,16
Coca-Cola Company,3,Plains All American Pipeline Lp,Eqt Corp,,72
Coca-Cola Company,3,Cme Group Inc,Sgx Pharmaceuticals Inc,,32
Pepsico Inc,2,Dover Corp,Icc Holdings Inc,,36
Pepsico Inc,3,T-Mobile Us,Juno Therapeutics,,186
Pepsico Inc,1,Pepsico Inc,Wells Fargo And Company,,1040
Pepsico Inc,1,Pepsico Inc,United States Steel Corp,Communication,390
Pepsico Inc,3,Arch Capital Group Ltd,The Travelers Companies Inc,,140
Pepsico Inc,1,Pepsico Inc,Facebook Inc,,312
Pepsico Inc,2,Merck And Co Inc,Endocyte Inc,,1248
Pepsico Inc,2,Bank Of America Corp,Ford Motor Company,,2052
Coca-Cola Company,3,Loews Corp,Goodyear Tire And Rubber Co /Oh/,,378
Coca-Cola Company,2,Santander Holdings Usa Inc,Platform Specialty Products Corp,,32
Alphabet Inc,3,Entergy Corp,Pfo Global Inc,,50
Pepsico Inc,3,Under Armour,Ucp Inc,,26
Pepsico Inc,3,Sabre Corp,Gds Holdings Ltd,,1440
Coca-Cola Company,2,Keurig Dr Pepper Inc,Gain Capital Holdings,,8
Coca-Cola Company,3,United Natural Foods Inc,Abbvie Inc,,160
Microsoft Corp,1,Microsoft Corp,Bank Of America Corp,,855
Microsoft Corp,3,Hsbc Holdings Plc,Capital One Financial Corp,,20474
Alphabet Inc,1,Alphabet Inc,Sandp Global Inc,,840
Alphabet Inc,3,Caterpillar Inc,Wells Fargo And Company,,3880
Coca-Cola Company,1,Coca-Cola Company,Embotelladora Andina Sa,,960
Microsoft Corp,1,Microsoft Corp,Apache Corp,,75
Microsoft Corp,3,Tenet Healthcare Corp,Terraform Power Inc,,20
Alphabet Inc,3,Mid America Apartment Communities Inc,Royal Bank Of Canada,,936
Alphabet Inc,3,Pnc Financial Services Group Inc,Mercantile Bank Corp,,17
Alphabet Inc,2,Atandt Inc,Solis Tek Inc./Nv,,84
Alphabet Inc,2,Altaba Inc,Facebook Inc,,4404
Alphabet Inc,1,Alphabet Inc,Arlington Asset Investment Corp,,1008
Alphabet Inc,2,Goldman Sachs Group Inc,Kraft Foods Group Inc,,32
Alphabet Inc,1,Alphabet Inc,Microsoft Corp,,630
Microsoft Corp,3,Intel Corp,Analog Devices Sas,,160
Microsoft Corp,2,Starbucks Corp,Square Inc,,364
Alphabet Inc,3,General Electric Company,Cheniere Energy Inc,,180
